TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
Sett,Kayn,Vel'Koz,Ezreal,Thresh
Aatrox,Volibear,Syndra,Senna,Yuumi
Kayle,Kha'Zix,Viktor,Lucian,Volibear
Shen,Lee Sin,Zoe,Vayne,Lulu
Volibear,Jarvan IV,Xerath,Varus,Morgana
Kayn,Trundle,LeBlanc,Tristana,Pyke
Ahri,Gragas,Yasuo,Ezreal,Lulu
Nasus,Fiddlesticks,Aatrox,Kai'Sa,Senna
Singed,Kayn,Kassadin,Caitlyn,Morgana
Darius,Graves,Pantheon,Kled,Malphite
Teemo,Jarvan IV,Zed,Lucian,Pyke
Nasus,Nunu & Willump,Vel'Koz,Ezreal,Bard
Volibear,Evelynn,Ryze,Miss Fortune,Lulu
Quinn,Zac,Orianna,Lucian,Pyke
Fiora,Rammus,Tryndamere,Cassiopeia,Nami
Cho'Gath,Zac,Ekko,Yasuo,Janna
Jax,Fiddlesticks,Zed,Yasuo,Lulu
Malphite,Sett,Karma,Lucian,Nautilus
Fiora,Sejuani,Yasuo,Varus,Blitzcrank
Irelia,Jarvan IV,Katarina,Jinx,Lulu
Soraka,Udyr,Fizz,Kalista,Sett
Yorick,Nidalee,Zed,Ezreal,Maokai
Cassiopeia,Sejuani,Zed,Ezreal,Soraka
Irelia,Zac,Vel'Koz,Draven,Shaco
Kayle,Kayn,Corki,Irelia,Lulu
Jax,Olaf,Vel'Koz,Kai'Sa,Pyke
Shen,Volibear,Kassadin,Ashe,Pyke
Sion,Evelynn,Fizz,Varus,Janna
Akali,Rek'Sai,Kassadin,Tristana,Soraka
Darius,Nidalee,Syndra,Kalista,Blitzcrank
Fiora,Nidalee,Kayn,Jhin,Soraka
Ornn,Zac,Twisted Fate,Kled,Karma
Shen,Shyvana,Twisted Fate,Twitch,Nautilus
Garen,Kayn,Xerath,Lucian,Pyke
Twisted Fate,Kha'Zix,Mordekaiser,Varus,Morgana
Teemo,Rek'Sai,Diana,Caitlyn,Janna
Darius,Lee Sin,Qiyana,Morgana,Zoe
Kled,Kayn,Mordekaiser,Jhin,Pyke
Renekton,Kayn,Zilean,Vayne,Janna
Aatrox,Rengar,Ezreal,Aphelios,Veigar
Ornn,Fiddlesticks,Graves,Lucian,Janna
Akali,Ivern,Zed,Varus,Sett
Kled,Ekko,Vel'Koz,Vayne,Janna
Rengar,Fiddlesticks,Xerath,Kalista,Yuumi
Malphite,Kayn,Azir,Miss Fortune,Vel'Koz
Darius,Zac,Ekko,Sivir,Yuumi
Maokai,Kayn,Syndra,Lucian,Yuumi
Ornn,Ivern,Talon,Kog'Maw,Lulu
Nasus,Lee Sin,Ekko,Jhin,Zilean
Vladimir,Kha'Zix,Talon,Kai'Sa,Soraka
Urgot,Sylas,Neeko,Sivir,Blitzcrank
Mordekaiser,Graves,Camille,Kai'Sa,Soraka
Fiora,Skarner,Ryze,Jinx,Lulu
Jax,Kha'Zix,Veigar,Vel'Koz,Yuumi
Shen,Sejuani,Talon,Ziggs,Pyke
Gragas,Shaco,Cassiopeia,Jhin,Lulu
Vel'Koz,Fiddlesticks,Kennen,Aphelios,Lulu
Renekton,Nidalee,Katarina,Ezreal,Bard
Aatrox,Nidalee,Vel'Koz,Varus,Nautilus
Urgot,Fiddlesticks,Kassadin,Vayne,Yuumi
Shen,Kha'Zix,Zoe,Caitlyn,Nami
Renekton,Kayn,Zed,Kai'Sa,Janna
Pantheon,Warwick,Zoe,Draven,Janna
Mordekaiser,Kha'Zix,Ahri,Ezreal,Soraka
Tryndamere,Lee Sin,Zoe,Ezreal,Galio
Cho'Gath,Wukong,Jayce,Jhin,Nautilus
Renekton,Evelynn,Diana,Ezreal,Yuumi
Sion,Ekko,Yasuo,Draven,Pyke
Sett,Lee Sin,Ekko,Jhin,Senna
Sion,Rengar,Twisted Fate,Ezreal,Soraka
Nasus,Jarvan IV,Zilean,Ashe,Sett
Akali,Elise,Zed,Varus,Lux
Aatrox,Evelynn,Orianna,Ezreal,Yuumi
Volibear,Fiddlesticks,Vladimir,Heimerdinger,Pyke
Ornn,Rek'Sai,Ekko,Veigar,Pyke
Garen,Zac,Karma,Vayne,Janna
Gnar,Nidalee,Twisted Fate,Tristana,Yuumi
Sett,Kayn,Ekko,Lucian,Morgana
Ornn,Lee Sin,Zed,Varus,Thresh
Maokai,Ekko,Pyke,Ezreal,Brand
Riven,Trundle,Lissandra,Kai'Sa,Lulu
Fiora,Fiddlesticks,Ekko,Tristana,Janna
Lissandra,Shaco,Qiyana,Kai'Sa,Taric
Cho'Gath,Rek'Sai,Zoe,Lucian,Lulu
Sion,Fiddlesticks,Volibear,Heimerdinger,Soraka
Kled,Lee Sin,Azir,Pyke,Lux
Karma,Master Yi,Vladimir,Caitlyn,Morgana
Kennen,Graves,Talon,Jinx,Lulu
Garen,Nocturne,Sylas,Ezreal,Karma
Vel'Koz,Ekko,Zed,Aphelios,Nautilus
Ornn,Trundle,Zed,Veigar,Nami
Darius,Zac,Neeko,Ashe,Janna
Maokai,Lee Sin,Vladimir,Caitlyn,Soraka
Sett,Ekko,Aurelion Sol,Vayne,Janna
Camille,Volibear,Zilean,Jhin,Thresh
Sylas,Ekko,Zed,Kai'Sa,Lulu
Nasus,Gragas,Yasuo,Ezreal,Bard
Tryndamere,Shyvana,Renekton,Tristana,Soraka
Malphite,Kha'Zix,Orianna,Varus,Yuumi
Darius,Elise,Camille,Syndra,Brand
Riven,Shaco,Yasuo,Ezreal,Yuumi
Camille,Evelynn,Aurelion Sol,Ashe,Nautilus
Malphite,Udyr,Taliyah,Ezreal,Yuumi
Gnar,Fiddlesticks,Zoe,Aphelios,Soraka
Malphite,Rammus,Yasuo,Xayah,Senna
Sylas,Graves,Aurelion Sol,Caitlyn,Morgana
Cassiopeia,Rek'Sai,Rumble,Aphelios,Yuumi
Darius,Jarvan IV,Yasuo,Draven,Braum
Malphite,Master Yi,Taric,Lucian,Lulu
Irelia,Rammus,Syndra,Aphelios,Soraka
Kled,Kayn,Syndra,Ezreal,Karma
Tryndamere,Kha'Zix,Viktor,Kai'Sa,Yuumi
Ornn,Shaco,Galio,Twitch,Soraka
Malphite,Rengar,Irelia,Miss Fortune,Lulu
Garen,Ekko,Yasuo,Vayne,Lulu
Ornn,Kindred,Syndra,Ezreal,Rakan
Darius,Fiddlesticks,Syndra,Ezreal,Bard
Wukong,Rengar,Sylas,Aphelios,Soraka
Sion,Gragas,Lucian,Xerath,Yuumi
Maokai,Volibear,Fizz,Caitlyn,Lux
Mordekaiser,Kha'Zix,Lux,Kai'Sa,Soraka
Fiora,Sejuani,Zed,Caitlyn,Bard
Gragas,Kayn,Yasuo,Pyke,Senna
Fiora,Lee Sin,Vladimir,Miss Fortune,Yuumi
Mordekaiser,Lee Sin,Vel'Koz,Vayne,Lulu
Fiora,Jax,Syndra,Miss Fortune,Pyke
Sion,Fiddlesticks,Sylas,Ashe,Bard
Ziggs,Shaco,Mordekaiser,Kai'Sa,Lulu
Sett,Kha'Zix,Malzahar,Taliyah,Pyke
Darius,Kayn,Fizz,Aphelios,Lulu
Vayne,Rek'Sai,Katarina,Kai'Sa,Lulu
Urgot,Ekko,Yasuo,Syndra,Thresh
Karma,Hecarim,Kassadin,Lucian,Janna
Maokai,Olaf,Tryndamere,Varus,Galio
Mordekaiser,Hecarim,Zed,Kog'Maw,Lulu
Sion,Kayn,Syndra,Varus,Karma
Fiora,Sejuani,Syndra,Jinx,Nautilus
Gangplank,Evelynn,Pyke,Caitlyn,Yuumi
Zac,Elise,Syndra,Vayne,Yuumi
Urgot,Kha'Zix,Xerath,Jinx,Lulu
Zac,Elise,Yasuo,Kai'Sa,Yuumi
Pantheon,Rengar,Mordekaiser,Caitlyn,Bard
Gangplank,Aatrox,Ryze,Ezreal,Nami
Vladimir,Jarvan IV,Corki,Xayah,Rakan
Zed,Zac,Corki,Jhin,Miss Fortune
Malphite,Graves,Irelia,Caitlyn,Janna
Shen,Zac,Lissandra,Draven,Janna
Jax,Ekko,Sylas,Xayah,Yuumi
Gragas,Kayn,Zed,Vayne,Janna
Renekton,Elise,Ziggs,Ezreal,Yuumi
Gangplank,Elise,Anivia,Varus,Janna
Zed,Lee Sin,Graves,Swain,Morgana
Karma,Rek'Sai,Kassadin,Varus,Janna
Nasus,Ekko,Yasuo,Xayah,Rakan
Jax,Jarvan IV,Yasuo,Kai'Sa,Thresh
Poppy,Volibear,Fizz,Miss Fortune,Pyke
Riven,Master Yi,LeBlanc,Caitlyn,Zyra
Garen,Zac,Galio,Vayne,Yuumi
Malphite,Master Yi,Taric,Kai'Sa,Lulu
Irelia,Shyvana,Sylas,Twitch,Yuumi
Vladimir,Lee Sin,Sett,Kai'Sa,Soraka
Fiora,Rek'Sai,Kassadin,Aphelios,Yuumi
Darius,Rengar,Syndra,Miss Fortune,Yuumi
Kled,Evelynn,Ekko,Draven,Janna
Aatrox,Zac,Syndra,Kog'Maw,Lulu
Vayne,Fiddlesticks,Vel'Koz,Draven,Pyke
Fiora,Kha'Zix,Orianna,Ezreal,Bard
Sion,Rek'Sai,Syndra,Draven,Yuumi
Sylas,Nunu & Willump,Zed,Morgana,Zyra
Camille,Lee Sin,LeBlanc,Ezreal,Zilean
Teemo,Kha'Zix,Gangplank,Cassiopeia,Galio
Sion,Graves,Sylas,Ezreal,Yuumi
Darius,Kayn,Ekko,Kalista,Leona
Wukong,Jarvan IV,Katarina,Kai'Sa,Yuumi
Kled,Graves,Veigar,Tristana,Thresh
Darius,Zac,Rumble,Syndra,Pyke
Illaoi,Jarvan IV,Swain,Yasuo,Lulu
Mordekaiser,Rengar,Azir,Tristana,Yuumi
Gangplank,Nidalee,Vel'Koz,Miss Fortune,Lulu
Cho'Gath,Ekko,Zed,Ziggs,Taric
Renekton,Jarvan IV,Syndra,Kog'Maw,Lulu
Irelia,Elise,Yasuo,Trundle,Senna
Irelia,Warwick,Mordekaiser,Kog'Maw,Lulu
Shen,Fiddlesticks,Zed,Varus,Morgana
Mordekaiser,Master Yi,Ziggs,Lucian,Taric
Shen,Camille,Lissandra,Caitlyn,Morgana
Lucian,Lee Sin,Vladimir,Kai'Sa,Yuumi
Kennen,Graves,Yasuo,Ezreal,Rakan
Gragas,Nidalee,Zed,Kai'Sa,Yuumi
Maokai,Lee Sin,Sett,Heimerdinger,Morgana
Kled,Evelynn,Zed,Kai'Sa,Lulu
Ornn,Graves,Irelia,Ezreal,Morgana
Sett,Graves,Akali,Vayne,Yuumi
Renekton,Jarvan IV,Corki,Ezreal,Maokai
Mordekaiser,Elise,Diana,Ezreal,Yuumi
Malphite,Graves,Ahri,Miss Fortune,Morgana
Vayne,Sett,Azir,Kai'Sa,Lulu
Ornn,Kayn,Vladimir,Caitlyn,Nami
Ornn,Evelynn,Zed,Ezreal,Leona
Sion,Kha'Zix,Vel'Koz,Xayah,Rakan
Darius,Karthus,Zed,Syndra,Zyra
Quinn,Rek'Sai,Orianna,Ziggs,Thresh
Akali,Kha'Zix,Camille,Kai'Sa,Thresh
Malphite,Graves,Kassadin,Varus,Yuumi
Sion,Graves,Ekko,Ezreal,Yuumi
Malphite,Master Yi,Taric,Vayne,Thresh
Gangplank,Lee Sin,Diana,Ezreal,Yuumi
Garen,Ekko,Tristana,Sivir,Leona
Tryndamere,Kha'Zix,Fizz,Kai'Sa,Yuumi
Riven,Jarvan IV,Lissandra,Ashe,Janna
Sion,Lee Sin,Katarina,Aphelios,Braum
Mordekaiser,Kha'Zix,Ekko,Syndra,Zyra
Singed,Shaco,Zed,Kai'Sa,Nautilus
Fiora,Trundle,LeBlanc,Ezreal,Zoe
Riven,Trundle,Fizz,Kalista,Janna
Jax,Zac,Fiora,Veigar,Morgana
Gangplank,Shyvana,Viktor,Kog'Maw,Lulu
Aatrox,Ekko,Vel'Koz,Miss Fortune,Pyke
Rumble,Olaf,Ziggs,Kai'Sa,Nami
Renekton,Shaco,Ekko,Miss Fortune,Lulu
Sylas,Shaco,Lissandra,Vayne,Lulu
Ornn,Graves,Zed,Twitch,Nami
Darius,Kha'Zix,Fizz,Syndra,Leona
Gangplank,Vi,Lissandra,Aphelios,Pyke
Fiora,Gragas,Yasuo,Kai'Sa,Rakan
Ornn,Kayn,Corki,Lucian,Blitzcrank
Wukong,Kha'Zix,Katarina,Jhin,Pyke
Shen,Ekko,Neeko,Ezreal,Bard
Renekton,Graves,Sylas,Vayne,Yuumi
Diana,Master Yi,Syndra,Lucian,Thresh
Kayle,Skarner,Syndra,Draven,Leona
Fiora,Kha'Zix,Veigar,Ezreal,Yuumi
Mordekaiser,Rengar,Vel'Koz,Caitlyn,Leona
Irelia,Ekko,Corki,Draven,Yuumi
Poppy,Master Yi,Azir,Aphelios,Zyra
Irelia,Evelynn,Zed,Draven,Janna
Irelia,Graves,Corki,Draven,Yuumi
Yorick,Rammus,Galio,Ezreal,Zyra
Irelia,Kha'Zix,Corki,Draven,Yuumi
Jayce,Wukong,Ziggs,Syndra,Thresh
Kennen,Graves,Zed,Tristana,Nautilus
Ornn,Gragas,Galio,Xayah,Lulu
Jax,Udyr,Syndra,Draven,Nami
Darius,Camille,Diana,Tristana,Janna
Darius,Karthus,Anivia,Jinx,Veigar
Lissandra,Rek'Sai,Ekko,Xayah,Blitzcrank
Renekton,Hecarim,Viktor,Kai'Sa,Leona
Maokai,Gragas,Zed,Kog'Maw,Lulu
Yasuo,Malphite,Zed,Ziggs,Vel'Koz
Irelia,Lee Sin,Galio,Draven,Thresh
Darius,Wukong,Sylas,Kai'Sa,Thresh
Vel'Koz,Lee Sin,Aatrox,Lucian,Braum
Draven,Olaf,Zed,Azir,Morgana
Irelia,Master Yi,Cassiopeia,Lucian,Janna
Graves,Jax,Rumble,Ezreal,Soraka
Sett,Xin Zhao,Sylas,Jhin,Brand
Ezreal,Graves,Qiyana,Viktor,Soraka
Ekko,Hecarim,Kayn,Caitlyn,Thresh
Cho'Gath,Rengar,Corki,Aphelios,Nami
Cassiopeia,Lee Sin,Yasuo,Tristana,Soraka
Jax,Nunu & Willump,Diana,Caitlyn,Senna
Gnar,Kha'Zix,Yasuo,Kai'Sa,Soraka
Sett,Volibear,Orianna,Miss Fortune,Xerath
Akali,Sejuani,Zed,Kai'Sa,Senna
Sylas,Pantheon,Zed,Draven,Pyke
Tryndamere,Rammus,Galio,Twitch,Lulu
Warwick,Graves,Zed,Varus,Thresh
Kled,Ivern,Sett,Jinx,Lulu
Malphite,Vi,Sylas,Lucian,Braum
Rengar,Ekko,Zed,Ezreal,Nami
Jax,Sylas,Viktor,Draven,Sett
Sion,Graves,Rumble,Jhin,Thresh
Shen,Lee Sin,Qiyana,Kog'Maw,Lulu
Mordekaiser,Kha'Zix,Twisted Fate,Aphelios,Nami
Poppy,Lee Sin,Zed,Lucian,Nami
Olaf,Zac,Ekko,Ezreal,Janna
Gangplank,Nunu & Willump,Vel'Koz,Varus,Tahm Kench
Maokai,Lee Sin,Aurelion Sol,Jinx,Braum
Aatrox,Graves,Cassiopeia,Xayah,Pyke
Shen,Nunu & Willump,Vladimir,Kai'Sa,Thresh
Tahm Kench,Lee Sin,Sylas,Aurelion Sol,Yuumi
Wukong,Olaf,Vladimir,Ashe,Nautilus
Trundle,Jarvan IV,Fizz,Ezreal,Janna
Ornn,Graves,Kassadin,Lucian,Leona
Aatrox,Wukong,Ahri,Kalista,Leona
Karma,Sett,Zoe,Caitlyn,Morgana
Sett,Ekko,Syndra,Varus,Thresh
Aatrox,Lee Sin,Nocturne,Kog'Maw,Lulu
Wukong,Evelynn,Lux,Caitlyn,Janna
Tryndamere,Trundle,Corki,Ziggs,Bard
Mordekaiser,Xin Zhao,Xerath,Varus,Lulu
Darius,Jarvan IV,Aurelion Sol,Jhin,Yuumi
Mordekaiser,Graves,LeBlanc,Ezreal,Yuumi
Alistar,Trundle,Syndra,Aphelios,Lulu
Kayle,Warwick,Camille,Kai'Sa,Cho'Gath
Jayce,Diana,Yasuo,Cassiopeia,Nami
Riven,Lee Sin,Kassadin,Varus,Janna
Fiora,Dr. Mundo,Talon,Lux,Nami
Shen,Master Yi,Diana,Ezreal,Yuumi
Fiora,Rengar,Corki,Xerath,Leona
Renekton,Gragas,Yasuo,Zoe,Bard
Mordekaiser,Sett,Fizz,Caitlyn,Yuumi
Sett,Ekko,Karma,Xayah,Yuumi
Maokai,Trundle,Sylas,Caitlyn,Nami
Maokai,Evelynn,Qiyana,Ashe,Blitzcrank
Camille,Zac,Corki,Varus,Tahm Kench
Renekton,Rammus,Swain,Xayah,Lulu
Ornn,Graves,Fizz,Miss Fortune,Yuumi
Yasuo,Evelynn,Galio,Lucian,Yuumi
Kayle,Vi,Fizz,Jinx,Nautilus
Riven,Evelynn,Yasuo,Lucian,Nami
Olaf,Lee Sin,Cassiopeia,Xayah,Yuumi
Maokai,Rek'Sai,Syndra,Ashe,Leona
Dr. Mundo,Lee Sin,LeBlanc,Xayah,Yuumi
Riven,Sejuani,Lux,Lucian,Neeko
Shen,Graves,Ahri,Kai'Sa,Yuumi
Sett,Ekko,Yasuo,Veigar,Yuumi
Malphite,Rengar,Xerath,Varus,Zyra
Trundle,Evelynn,Zed,Miss Fortune,Yuumi
Poppy,Zac,Malphite,Jhin,Thresh
Shen,Volibear,Kassadin,Ashe,Braum
Rumble,Olaf,Lissandra,Miss Fortune,Leona
Sylas,Kha'Zix,Zed,Ezreal,Thresh
Vel'Koz,Trundle,Pantheon,Miss Fortune,Janna
Yasuo,Graves,Malphite,Kalista,Nami
Poppy,Karthus,Zed,Sivir,Rakan
Renekton,Shaco,Galio,Kai'Sa,Pyke
Shyvana,Kha'Zix,Vel'Koz,Caitlyn,Sett
Shen,Kayn,Aurelion Sol,Miss Fortune,Senna
Camille,Gragas,Sylas,Aphelios,Thresh
Garen,Jarvan IV,Sylas,Pyke,Taric
Jax,Sejuani,Ziggs,Caitlyn,Yuumi
Gangplank,Darius,Diana,Ezreal,Brand
Aatrox,Shyvana,Cassiopeia,Syndra,Blitzcrank
Darius,Ivern,Vladimir,Lucian,Yuumi
Warwick,Graves,Karma,Kog'Maw,Lulu
Dr. Mundo,Kindred,Malzahar,Lucian,Braum
Ornn,Zac,Sylas,Kai'Sa,Morgana
Kled,Lee Sin,Pantheon,Kog'Maw,Janna
Vladimir,Elise,Urgot,Kai'Sa,Lulu
Irelia,Rek'Sai,Ornn,Vladimir,Alistar
Warwick,Graves,LeBlanc,Ezreal,Yuumi
Camille,Zac,Katarina,Xayah,Rakan
Sett,Ekko,Lux,Aphelios,Janna
Teemo,Lee Sin,Veigar,Cho'Gath,Bard
Maokai,Kha'Zix,Zoe,Sivir,Rakan
Warwick,Graves,Katarina,Xayah,Lulu
Shen,Nidalee,Camille,Miss Fortune,Bard
Jax,Amumu,Annie,Kai'Sa,Nami
Teemo,Skarner,Galio,Jhin,Thresh
Skarner,Zac,Lissandra,Miss Fortune,Yuumi
Volibear,Sylas,Kassadin,Ezreal,Rakan
Darius,Rek'Sai,Syndra,Miss Fortune,Senna
Urgot,Olaf,Xerath,Jhin,Thresh
Volibear,Nunu & Willump,Cassiopeia,Ezreal,Pyke
Veigar,Kha'Zix,Azir,Miss Fortune,Yuumi
Tryndamere,Zac,Morgana,Jhin,Bard
Zed,Hecarim,Vel'Koz,Ezreal,Yuumi
Garen,Olaf,Katarina,Sivir,Yuumi
Shen,Shaco,Orianna,Soraka,Senna
Gnar,Hecarim,Katarina,Vayne,Lulu
Shen,Master Yi,Diana,Kai'Sa,Soraka
Aatrox,Lee Sin,Veigar,Varus,Leona
Sett,Elise,Sylas,Tahm Kench,Senna
Riven,Udyr,Heimerdinger,Vayne,Lulu
Maokai,Graves,Viktor,Olaf,Yuumi
Volibear,Lee Sin,Xerath,Xayah,Rakan
Malphite,Shaco,Taliyah,Miss Fortune,Yuumi
Jax,Kha'Zix,Cassiopeia,Caitlyn,Blitzcrank
Gnar,Sejuani,Vel'Koz,Veigar,Yuumi
Sett,Graves,Ziggs,Lucian,Thresh
Tryndamere,Jarvan IV,Kassadin,Kai'Sa,Yuumi
Riven,Gragas,Lux,Ezreal,Sett
Illaoi,Zac,Ziggs,Jhin,Janna
Irelia,Sejuani,Kassadin,Varus,Fiddlesticks
Camille,Nocturne,Yasuo,Miss Fortune,Yuumi
Rengar,Evelynn,Zed,Ezreal,Yuumi
Singed,Lee Sin,Aurelion Sol,Jhin,Alistar
Jax,Nunu & Willump,Xerath,Kai'Sa,Blitzcrank
Gangplank,Evelynn,Kassadin,Xayah,Janna
Kassadin,Nunu & Willump,Nocturne,Jhin,Janna
Urgot,Master Yi,Lucian,Ezreal,Yuumi
Sett,Zac,Anivia,Varus,Nami
Maokai,Kayn,Kassadin,Vayne,Janna
Udyr,Master Yi,Galio,Ezreal,Lulu
Jax,Zac,Ekko,Vayne,Janna
Sett,Elise,Zed,Varus,Bard
Kled,Rengar,Lux,Kai'Sa,Rakan
Kayle,Master Yi,Lux,Draven,Ivern
Sion,Volibear,Vel'Koz,Vayne,Lulu
Rammus,Shyvana,Ryze,Tristana,Janna
Irelia,Graves,Yasuo,Aphelios,Nautilus
Riven,Elise,Syndra,Ezreal,Nami
Camille,Amumu,Orianna,Aphelios,Janna
Yorick,Master Yi,Kassadin,Lucian,Thresh
Jax,Ekko,Xerath,Tristana,Janna
Olaf,Kha'Zix,Kassadin,Kai'Sa,Janna
Maokai,Elise,Syndra,Wukong,Thresh
Wukong,Pantheon,Cassiopeia,Tristana,Volibear
Garen,Jarvan IV,Azir,Kai'Sa,Yuumi
Ornn,Skarner,Viktor,Zyra,Senna
Kayle,Nunu & Willump,Ekko,Ezreal,Yuumi
Jax,Nunu & Willump,Annie,Ezreal,Sona
Darius,Evelynn,Xerath,Jinx,Yuumi
Tryndamere,Olaf,Fizz,Aphelios,Yuumi
Malphite,Ekko,Katarina,Tahm Kench,Senna
Sion,Lee Sin,Azir,Varus,Brand
Kayle,Shyvana,Katarina,Lucian,Pyke
Darius,Ekko,Rumble,Miss Fortune,Yuumi
Neeko,Rammus,Yasuo,Syndra,Leona
Riven,Sejuani,Ekko,Lucian,Nami
Mordekaiser,Graves,Orianna,Ezreal,Nautilus
Ezreal,Jarvan IV,Zed,Tristana,Soraka
Sett,Shyvana,LeBlanc,Jhin,Tahm Kench
Fiora,Warwick,Zed,Miss Fortune,Xerath
Malphite,Jarvan IV,Brand,Varus,Zilean
Jax,Jarvan IV,Galio,Kog'Maw,Taric
Renekton,Master Yi,Lulu,Ezreal,Yuumi
Camille,Graves,Orianna,Sivir,Leona
Sett,Wukong,Ahri,Aphelios,Lulu
Camille,Hecarim,LeBlanc,Varus,Bard
