id,team,champions,win
5663-7268,Blue,"['Renekton', ""Rek'Sai"", 'Ryze', 'Aphelios', 'Nautilus']",0
5663-7268,Red,"['Rumble', 'Jarvan IV', 'Cassiopeia', 'Senna', 'Thresh']",1
5663-7269,Blue,"['Fiora', 'Lee Sin', 'Nautilus', 'Aphelios', 'Braum']",1
5663-7269,Red,"['Mordekaiser', 'Qiyana', 'Cassiopeia', 'Miss Fortune', 'Leona']",0
5663-7270,Blue,"['Kennen', 'Jarvan IV', 'Rumble', 'Miss Fortune', 'Leona']",1
5663-7270,Red,"['Camille', 'Qiyana', 'Mordekaiser', ""Kai'Sa"", 'Nautilus']",0
5664-7271,Blue,"['Mordekaiser', 'Lee Sin', 'Zoe', 'Senna', 'Rakan']",1
5664-7271,Red,"['Ornn', 'Olaf', 'Rumble', 'Miss Fortune', 'Braum']",0
5664-7277,Blue,"['Sett', ""Rek'Sai"", 'Rumble', 'Aphelios', 'Thresh']",0
5664-7277,Red,"['Vladimir', 'Gragas', 'Lucian', 'Miss Fortune', 'Nautilus']",1
5665-7272,Blue,"['Gangplank', 'Qiyana', 'Zoe', 'Miss Fortune', 'Braum']",0
5665-7272,Red,"['Mordekaiser', ""Rek'Sai"", 'Nautilus', 'Aphelios', 'Rakan']",1
5665-7276,Blue,"['Sett', 'Nidalee', 'Qiyana', 'Varus', 'Braum']",1
5665-7276,Red,"['Ornn', 'Olaf', 'Zoe', 'Aphelios', 'Leona']",0
5666-7273,Blue,"['Aatrox', 'Gragas', 'Lucian', 'Varus', 'Braum']",0
5666-7273,Red,"['Renekton', ""Rek'Sai"", 'Rumble', 'Miss Fortune', 'Rakan']",1
5666-7274,Blue,"['Aatrox', 'Lee Sin', 'LeBlanc', 'Miss Fortune', 'Morgana']",0
5666-7274,Red,"['Gangplank', 'Gragas', 'Lissandra', 'Aphelios', 'Leona']",1
5666-7275,Blue,"['Aatrox', 'Nocturne', 'Rumble', 'Senna', 'Braum']",1
5666-7275,Red,"['Mordekaiser', ""Rek'Sai"", 'Sylas', 'Miss Fortune', 'Leona']",0
5667-7278,Blue,"['Aatrox', 'Qiyana', 'Rumble', 'Senna', 'Braum']",0
5667-7278,Red,"['Renekton', 'Jarvan IV', 'Zilean', 'Aphelios', 'Leona']",1
5667-7279,Blue,"['Renekton', 'Jarvan IV', 'Rumble', 'Lucian', 'Nautilus']",1
5667-7279,Red,"['Jax', 'Qiyana', 'Cassiopeia', 'Miss Fortune', 'Leona']",0
5667-7280,Blue,"['Kennen', 'Elise', 'Lucian', 'Miss Fortune', 'Leona']",1
5667-7280,Red,"['Camille', 'Qiyana', 'Cassiopeia', 'Aphelios', 'Nautilus']",0
5668-7281,Blue,"['Aatrox', 'Lee Sin', 'Diana', 'Senna', 'Leona']",1
5668-7281,Red,"['Jax', 'Jarvan IV', 'Zoe', 'Miss Fortune', 'Nautilus']",0
5668-7282,Blue,"['Mordekaiser', ""Rek'Sai"", 'Orianna', 'Senna', 'Braum']",1
5668-7282,Red,"['Aatrox', 'Lee Sin', 'Sylas', 'Lucian', 'Leona']",0
5668-7283,Blue,"['Vladimir', 'Elise', 'Pantheon', 'Aphelios', 'Nautilus']",0
5668-7283,Red,"['Ornn', 'Lee Sin', 'Viktor', 'Varus', 'Tahm Kench']",1
5952-7303,Blue,"['Ornn', 'Camille', 'Lissandra', 'Senna', 'Tahm Kench']",1
5952-7303,Red,"['Aatrox', 'Lee Sin', 'LeBlanc', 'Aphelios', 'Bard']",0
5952-7304,Blue,"['Sett', 'Lee Sin', 'Zoe', 'Miss Fortune', 'Leona']",1
5952-7304,Red,"['Janna', 'Olaf', 'LeBlanc', 'Ezreal', 'Alistar']",0
5952-7305,Blue,"['Ornn', ""Rek'Sai"", 'Zoe', 'Kalista', 'Braum']",0
5952-7305,Red,"['Sett', 'Lee Sin', 'Diana', 'Miss Fortune', 'Leona']",1
5953-7306,Blue,"['Aatrox', 'Lee Sin', 'Rumble', 'Miss Fortune', 'Rakan']",1
5953-7306,Red,"['Ornn', 'Kindred', 'Karma', 'Aphelios', 'Braum']",0
5953-7307,Blue,"['Aatrox', 'Lee Sin', 'Rumble', 'Miss Fortune', 'Blitzcrank']",0
5953-7307,Red,"['Mordekaiser', 'Kindred', 'Ornn', 'Aphelios', 'Leona']",1
5953-7308,Blue,"['Renekton', 'Kindred', 'Karma', 'Aphelios', 'Rakan']",0
5953-7308,Red,"['Aatrox', 'Gragas', 'Sylas', 'Miss Fortune', 'Leona']",1
5954-7309,Blue,"['Sett', 'Trundle', 'Sylas', 'Aphelios', 'Taric']",1
5954-7309,Red,"['Ornn', 'Sejuani', 'Azir', 'Miss Fortune', 'Leona']",0
5954-7310,Blue,"['Sett', ""Rek'Sai"", 'Zoe', ""Kai'Sa"", 'Braum']",1
5954-7310,Red,"['Ornn', 'Sejuani', 'Diana', 'Aphelios', 'Yuumi']",0
5955-7311,Blue,"['Renekton', 'Lee Sin', 'Cassiopeia', 'Aphelios', 'Nautilus']",1
5955-7311,Red,"['Gnar', 'Gragas', 'Pantheon', 'Miss Fortune', 'Thresh']",0
5955-7312,Blue,"['Mordekaiser', 'Elise', 'Qiyana', 'Varus', 'Thresh']",0
5955-7312,Red,"['Aatrox', 'Lee Sin', 'Lissandra', 'Miss Fortune', 'Nautilus']",1
5956-7313,Blue,"['Renekton', 'Gragas', 'Ornn', 'Ezreal', 'Yuumi']",0
5956-7313,Red,"['Maokai', 'Jarvan IV', 'Rumble', 'Miss Fortune', 'Bard']",1
5956-7314,Blue,"['Rumble', 'Sejuani', 'Lucian', 'Kalista', 'Braum']",0
5956-7314,Red,"['Renekton', 'Jarvan IV', 'Azir', 'Miss Fortune', 'Nautilus']",1
5956-7315,Blue,"['Aatrox', 'Elise', 'Azir', 'Miss Fortune', 'Nautilus']",0
5956-7315,Red,"['Maokai', 'Jarvan IV', 'Rumble', 'Varus', 'Thresh']",1
5957-7316,Blue,"['Ornn', 'Lee Sin', 'Corki', 'Kalista', 'Nautilus']",1
5957-7316,Red,"['Gangplank', 'Jarvan IV', 'Rumble', 'Miss Fortune', 'Braum']",0
5957-7317,Blue,"['Irelia', 'Elise', 'Zoe', 'Aphelios', 'Nautilus']",1
5957-7317,Red,"['Aatrox', 'Lee Sin', 'Orianna', 'Miss Fortune', 'Leona']",0
5957-7318,Blue,"['Ornn', ""Rek'Sai"", 'Rumble', 'Miss Fortune', 'Nautilus']",1
5957-7318,Red,"['Mordekaiser', 'Lee Sin', 'Zoe', 'Varus', 'Leona']",0
5958-7319,Blue,"['Mordekaiser', 'Jarvan IV', 'Zoe', 'Senna', 'Galio']",0
5958-7319,Red,"['Sett', 'Gragas', 'Yasuo', 'Miss Fortune', 'Nautilus']",1
5958-7320,Blue,"['Renekton', 'Lee Sin', 'LeBlanc', 'Kalista', 'Thresh']",1
5958-7320,Red,"['Poppy', 'Elise', 'Zoe', 'Varus', 'Braum']",0
5959-7321,Blue,"['Kalista', 'Olaf', 'Rumble', 'Ezreal', 'Yuumi']",1
5959-7321,Red,"['Ornn', 'Trundle', 'Zoe', 'Miss Fortune', 'Leona']",0
5959-7322,Blue,"['Kalista', 'Jarvan IV', 'Syndra', 'Varus', 'Thresh']",1
5959-7322,Red,"['Kennen', ""Rek'Sai"", 'Ekko', 'Miss Fortune', 'Nautilus']",0
5960-7323,Blue,"['Sett', 'Karthus', 'Pantheon', 'Miss Fortune', 'Thresh']",1
5960-7323,Red,"['Ornn', 'Olaf', 'Sylas', 'Lucian', 'Bard']",0
5960-7324,Blue,"['Ornn', 'Trundle', 'Sylas', 'Lucian', 'Bard']",0
5960-7324,Red,"['Poppy', 'Lee Sin', 'LeBlanc', 'Miss Fortune', 'Thresh']",1
5961-7325,Blue,"['Aatrox', 'Elise', 'Lissandra', 'Aphelios', 'Nautilus']",1
5961-7325,Red,"['Mordekaiser', 'Jarvan IV', 'LeBlanc', 'Senna', 'Tahm Kench']",0
5961-7326,Blue,"['Qiyana', 'Elise', 'Azir', 'Senna', 'Tahm Kench']",1
5961-7326,Red,"['Aatrox', 'Sejuani', 'Sylas', 'Aphelios', 'Nautilus']",0
5961-7327,Blue,"['Aatrox', ""Rek'Sai"", 'Viktor', 'Aphelios', 'Nautilus']",0
5961-7327,Red,"['Malphite', 'Poppy', 'Azir', 'Senna', 'Tahm Kench']",1
5962-7328,Blue,"['Ornn', 'Nunu & Willump', 'Lucian', 'Ezreal', 'Leona']",0
5962-7328,Red,"['Janna', 'Olaf', 'Lissandra', 'Miss Fortune', 'Braum']",1
5962-7329,Blue,"['Sylas', 'Sejuani', 'Qiyana', 'Miss Fortune', 'Nautilus']",0
5962-7329,Red,"['Ornn', 'Jarvan IV', 'Azir', 'Jhin', 'Tahm Kench']",1
5963-7330,Blue,"['Gangplank', 'Lee Sin', 'Zoe', 'Aphelios', 'Nautilus']",1
5963-7330,Red,"['Aatrox', 'Elise', 'Azir', 'Miss Fortune', 'Leona']",0
5963-7331,Blue,"['Renekton', 'Lee Sin', 'LeBlanc', 'Vayne', 'Senna']",0
5963-7331,Red,"['Aatrox', 'Olaf', 'Galio', 'Aphelios', 'Blitzcrank']",1
5964-7332,Blue,"['Renekton', 'Jarvan IV', 'Rumble', 'Aphelios', 'Thresh']",1
5964-7332,Red,"['Mordekaiser', 'Lee Sin', 'Sylas', 'Miss Fortune', 'Nautilus']",0
5964-7333,Blue,"['Renekton', 'Ekko', 'Pantheon', 'Kalista', 'Taric']",1
5964-7333,Red,"['Aatrox', ""Rek'Sai"", 'Zoe', 'Miss Fortune', 'Nautilus']",0
5965-7334,Blue,"['Aatrox', 'Elise', 'Qiyana', 'Miss Fortune', 'Alistar']",0
5965-7334,Red,"['Renekton', ""Rek'Sai"", 'Sylas', 'Kalista', 'Rakan']",1
5965-7335,Blue,"['Vladimir', 'Jarvan IV', 'Sylas', 'Senna', 'Tahm Kench']",0
5965-7335,Red,"['Ornn', 'Lee Sin', 'Kassadin', 'Varus', 'Yuumi']",1
5966-7336,Blue,"['Aatrox', 'Elise', 'Zoe', 'Lucian', 'Leona']",0
5966-7336,Red,"['Renekton', 'Lee Sin', 'Syndra', 'Miss Fortune', 'Nautilus']",1
5966-7337,Blue,"['Aatrox', 'Sylas', 'Lucian', 'Miss Fortune', 'Thresh']",1
5966-7337,Red,"['Ornn', 'Jarvan IV', 'Taliyah', 'Ezreal', 'Tahm Kench']",0
5967-7338,Blue,"['Mordekaiser', 'Lee Sin', 'Rumble', 'Aphelios', 'Thresh']",0
5967-7338,Red,"['Renekton', 'Sejuani', 'Sylas', 'Miss Fortune', 'Braum']",1
5967-7339,Blue,"['Maokai', 'Lee Sin', 'Rumble', 'Aphelios', 'Morgana']",0
5967-7339,Red,"['Renekton', 'Sejuani', 'Azir', 'Miss Fortune', 'Nautilus']",1
5968-7340,Blue,"['Maokai', 'Graves', 'Azir', 'Senna', 'Nautilus']",0
5968-7340,Red,"['Janna', 'Jarvan IV', 'Kassadin', 'Miss Fortune', 'Leona']",1
5968-7341,Blue,"['Maokai', 'Sylas', 'Lucian', 'Senna', 'Nautilus']",0
5968-7341,Red,"['Janna', 'Jarvan IV', 'Kassadin', 'Miss Fortune', 'Leona']",1
5969-7342,Blue,"['Mordekaiser', 'Olaf', 'Taliyah', 'Miss Fortune', 'Nautilus']",0
5969-7342,Red,"['Rumble', 'Lee Sin', 'Orianna', 'Aphelios', 'Thresh']",1
5969-7343,Blue,"['Renekton', 'Olaf', 'Rumble', 'Aphelios', 'Blitzcrank']",1
5969-7343,Red,"['Kennen', 'Jarvan IV', 'Syndra', 'Varus', 'Thresh']",0
5969-7344,Blue,"['Ornn', 'Olaf', 'Zoe', 'Aphelios', 'Thresh']",0
5969-7344,Red,"['Lucian', 'Trundle', 'Neeko', 'Ezreal', 'Tahm Kench']",1
5970-7345,Blue,"['Aatrox', 'Lee Sin', 'Sylas', 'Aphelios', 'Nautilus']",1
5970-7345,Red,"['Kennen', 'Jarvan IV', 'Rumble', 'Miss Fortune', 'Braum']",0
5970-7346,Blue,"['Kennen', 'Lee Sin', 'Syndra', 'Aphelios', 'Leona']",1
5970-7346,Red,"['Aatrox', 'Gragas', 'Zoe', 'Miss Fortune', 'Nautilus']",0
5971-7347,Blue,"['Renekton', ""Rek'Sai"", 'Zoe', 'Varus', 'Thresh']",0
5971-7347,Red,"['Mordekaiser', 'Jarvan IV', 'Lissandra', 'Senna', 'Nautilus']",1
5971-7348,Blue,"['Maokai', 'Lee Sin', 'Ornn', 'Varus', 'Thresh']",1
5971-7348,Red,"['Gangplank', 'Jarvan IV', 'Azir', 'Miss Fortune', 'Braum']",0
5972-7349,Blue,"['Ornn', ""Rek'Sai"", 'Azir', 'Aphelios', 'Nautilus']",1
5972-7349,Red,"['Mordekaiser', 'Jarvan IV', 'LeBlanc', 'Miss Fortune', 'Leona']",0
5972-7350,Blue,"['Ornn', ""Rek'Sai"", 'Azir', 'Aphelios', 'Sett']",1
5972-7350,Red,"['Renekton', 'Elise', 'Lucian', 'Kalista', 'Leona']",0
5973-7351,Blue,"['Ornn', 'Olaf', 'Karma', 'Ezreal', 'Leona']",1
5973-7351,Red,"['Aatrox', 'Lee Sin', 'Syndra', 'Miss Fortune', 'Nautilus']",0
5973-7352,Blue,"['Renekton', 'Elise', 'LeBlanc', 'Caitlyn', 'Tahm Kench']",1
5973-7352,Red,"['Quinn', 'Jarvan IV', 'Lissandra', 'Miss Fortune', 'Leona']",0
5973-7353,Blue,"['Camille', 'Elise', 'Varus', 'Miss Fortune', 'Nautilus']",0
5973-7353,Red,"['Renekton', 'Lee Sin', 'Zoe', 'Caitlyn', 'Tahm Kench']",1
5974-7354,Blue,"['Aatrox', 'Jarvan IV', 'Rumble', 'Aphelios', 'Rakan']",1
5974-7354,Red,"['Ornn', ""Rek'Sai"", 'Zoe', 'Miss Fortune', 'Leona']",0
5974-7355,Blue,"['Renekton', 'Sylas', 'Azir', 'Senna', 'Tahm Kench']",1
5974-7355,Red,"['Aatrox', 'Jarvan IV', 'Rumble', ""Kog'Maw"", 'Lulu']",0
5974-7356,Blue,"['Ornn', 'Jarvan IV', 'Galio', 'Miss Fortune', 'Rakan']",0
5974-7356,Red,"['Mordekaiser', ""Rek'Sai"", 'LeBlanc', 'Xayah', 'Nautilus']",1
5975-7357,Blue,"['Renekton', 'Trundle', 'Azir', 'Aphelios', 'Thresh']",1
5975-7357,Red,"['Mordekaiser', 'Jarvan IV', 'Zoe', 'Miss Fortune', 'Braum']",0
5975-7358,Blue,"['Aatrox', 'Gragas', 'Azir', 'Aphelios', 'Thresh']",0
5975-7358,Red,"['Fiora', 'Jarvan IV', 'Zoe', 'Miss Fortune', 'Nautilus']",1
5975-7359,Blue,"['Kennen', 'Trundle', 'Azir', 'Aphelios', 'Thresh']",1
5975-7359,Red,"['Aatrox', 'Jarvan IV', 'Zoe', 'Miss Fortune', 'Nautilus']",0
5976-7360,Blue,"['Irelia', 'Sejuani', 'Zoe', 'Kalista', 'Thresh']",0
5976-7360,Red,"['Aatrox', 'Jarvan IV', 'Kassadin', 'Varus', 'Tahm Kench']",1
5976-7361,Blue,"['Aatrox', 'Ekko', 'Pantheon', 'Ezreal', 'Leona']",0
5976-7361,Red,"['Poppy', 'Lee Sin', 'Azir', 'Miss Fortune', 'Nautilus']",1
5977-7362,Blue,"['Aatrox', 'Lee Sin', 'Neeko', 'Kalista', 'Orianna']",0
5977-7362,Red,"['Mordekaiser', 'Pantheon', 'Rumble', 'Aphelios', 'Nautilus']",1
5977-7363,Blue,"['Ornn', 'Pantheon', 'Rumble', 'Aphelios', 'Leona']",0
5977-7363,Red,"['Aatrox', ""Rek'Sai"", 'Syndra', 'Bard', 'LeBlanc']",1
5977-7364,Blue,"['Ornn', 'Jarvan IV', 'Zoe', 'Aphelios', 'Nautilus']",1
5977-7364,Red,"['Aatrox', ""Rek'Sai"", 'Neeko', 'Pyke', 'Orianna']",0
5978-7365,Blue,"['Mordekaiser', 'Elise', 'Pantheon', 'Kalista', 'Nautilus']",0
5978-7365,Red,"['Renekton', ""Rek'Sai"", 'LeBlanc', 'Tristana', 'Rakan']",1
5978-7366,Blue,"['Maokai', 'Jarvan IV', 'LeBlanc', 'Varus', 'Thresh']",0
5978-7366,Red,"['Kayle', 'Lee Sin', 'Lissandra', 'Miss Fortune', 'Nautilus']",1
5978-7367,Blue,"['Renekton', 'Elise', 'Lucian', 'Miss Fortune', 'Braum']",0
5978-7367,Red,"['Kennen', 'Olaf', 'Zoe', 'Kalista', 'Thresh']",1
5979-7368,Blue,"['Mordekaiser', 'Jarvan IV', 'LeBlanc', 'Varus', 'Thresh']",1
5979-7368,Red,"['Gangplank', 'Maokai', 'Zoe', 'Miss Fortune', 'Nautilus']",0
5979-7369,Blue,"['Ornn', 'Maokai', 'Zoe', 'Ezreal', 'Thresh']",0
5979-7369,Red,"['Aatrox', 'Sylas', 'Lucian', 'Kalista', 'Bard']",1
5980-7370,Blue,"['Aatrox', 'Ekko', 'Pantheon', ""Kai'Sa"", 'Leona']",1
5980-7370,Red,"['Camille', 'Elise', 'Lissandra', 'Ezreal', 'Nautilus']",0
5980-7371,Blue,"['Aatrox', 'Elise', 'Diana', 'Aphelios', 'Thresh']",1
5980-7371,Red,"['Camille', 'Lee Sin', 'Azir', 'Miss Fortune', 'Nautilus']",0
5981-7372,Blue,"['Rumble', 'Nidalee', 'Lucian', 'Varus', 'Braum']",1
5981-7372,Red,"['Maokai', 'Gragas', 'Qiyana', 'Miss Fortune', 'Thresh']",0
5981-7373,Blue,"['Ornn', 'Lee Sin', 'Azir', 'Varus', 'Nautilus']",1
5981-7373,Red,"['Aatrox', 'Elise', 'Rumble', 'Ezreal', 'Thresh']",0
5981-7374,Blue,"['Sett', 'Trundle', 'Orianna', 'Ezreal', 'Tahm Kench']",1
5981-7374,Red,"['Ornn', 'Olaf', 'Nautilus', 'Varus', 'Yuumi']",0
5982-7375,Blue,"['Aatrox', 'Elise', 'Kled', 'Senna', 'Tahm Kench']",1
5982-7375,Red,"['Ornn', 'Taliyah', 'Pantheon', 'Miss Fortune', 'Blitzcrank']",0
5982-7376,Blue,"['Sett', 'Gragas', 'Galio', 'Draven', 'Leona']",0
5982-7376,Red,"['Renekton', 'Sejuani', 'Corki', 'Miss Fortune', 'Nautilus']",1
5983-7377,Blue,"['Aatrox', 'Elise', 'Azir', 'Aphelios', 'Braum']",1
5983-7377,Red,"['Rumble', 'Jarvan IV', 'Cassiopeia', 'Miss Fortune', 'Rakan']",0
5983-7378,Blue,"['Sett', 'Jarvan IV', 'Azir', 'Miss Fortune', 'Nautilus']",0
5983-7378,Red,"['Aatrox', 'Elise', 'Zoe', 'Aphelios', 'Leona']",1
5984-7379,Blue,"['Sett', 'Sejuani', 'Irelia', 'Miss Fortune', 'Braum']",1
5984-7379,Red,"['Aatrox', 'Elise', 'Azir', 'Caitlyn', 'Thresh']",0
5984-7380,Blue,"['Mordekaiser', 'Jarvan IV', 'LeBlanc', 'Varus', 'Thresh']",1
5984-7380,Red,"['Renekton', 'Sejuani', 'Azir', 'Miss Fortune', 'Nautilus']",0
5984-7381,Blue,"['Mordekaiser', 'Lee Sin', 'Syndra', 'Aphelios', 'Leona']",0
5984-7381,Red,"['Renekton', 'Sejuani', 'Ekko', 'Miss Fortune', 'Nautilus']",1
5985-7382,Blue,"['Aatrox', 'Elise', 'Syndra', 'Kalista', 'Leona']",0
5985-7382,Red,"['Renekton', 'Sejuani', 'Sylas', 'Miss Fortune', 'Nautilus']",1
5985-7383,Blue,"['Renekton', 'Gragas', 'Qiyana', 'Miss Fortune', 'Nautilus']",1
5985-7383,Red,"['Aatrox', ""Rek'Sai"", 'Lissandra', 'Varus', 'Leona']",0
5986-7384,Blue,"['Irelia', 'Sejuani', 'Zoe', 'Senna', 'Tahm Kench']",1
5986-7384,Red,"['Aatrox', 'Elise', 'Cassiopeia', 'Miss Fortune', 'Yuumi']",0
5986-7385,Blue,"['Renekton', 'Sylas', 'Zoe', ""Kai'Sa"", 'Nautilus']",0
5986-7385,Red,"['Ornn', 'Lee Sin', 'Ekko', 'Aphelios', 'Thresh']",1
5987-7386,Blue,"['Renekton', 'Sylas', 'LeBlanc', 'Varus', 'Tahm Kench']",1
5987-7386,Red,"['Sett', ""Rek'Sai"", 'Lissandra', 'Miss Fortune', 'Rakan']",0
5987-7387,Blue,"['Gangplank', 'Sylas', 'LeBlanc', 'Ashe', 'Braum']",0
5987-7387,Red,"['Renekton', ""Rek'Sai"", 'Lissandra', 'Varus', 'Morgana']",1
5987-7388,Blue,"['Gangplank', 'Olaf', 'Karma', 'Varus', 'Leona']",0
5987-7388,Red,"['Renekton', 'Lee Sin', 'Corki', 'Ezreal', 'Nautilus']",1
5988-7389,Blue,"['Rumble', 'Zac', 'Jayce', 'Aphelios', 'Karma']",1
5988-7389,Red,"['Renekton', 'Gragas', 'LeBlanc', 'Senna', 'Nautilus']",0
5988-7390,Blue,"['Rumble', 'Jarvan IV', 'Neeko', 'Aphelios', 'Nautilus']",1
5988-7390,Red,"['Jayce', 'Lee Sin', 'Corki', 'Miss Fortune', 'Leona']",0
5989-7391,Blue,"['Ornn', 'Jarvan IV', 'Zoe', 'Aphelios', 'Volibear']",1
5989-7391,Red,"['Aatrox', 'Elise', 'Lucian', 'Senna', 'Pantheon']",0
5989-7392,Blue,"['Aatrox', 'Elise', 'Irelia', 'Aphelios', 'Rakan']",1
5989-7392,Red,"['Maokai', 'Lee Sin', 'Zoe', 'Kalista', 'Braum']",0
5990-7393,Blue,"['Mordekaiser', 'Elise', 'Irelia', 'Kalista', 'Nautilus']",1
5990-7393,Red,"['Ornn', 'Jarvan IV', 'Galio', 'Varus', 'Tahm Kench']",0
5990-7394,Blue,"['Kennen', 'Jarvan IV', 'Zoe', 'Aphelios', 'Thresh']",1
5990-7394,Red,"['Sett', 'Lee Sin', 'Lissandra', 'Kalista', 'Nautilus']",0
5990-7395,Blue,"['Maokai', 'Jarvan IV', 'Zoe', 'Kalista', 'Nautilus']",0
5990-7395,Red,"['Ornn', 'Sejuani', 'Kassadin', 'Varus', 'Thresh']",1
5991-7396,Blue,"['Renekton', 'Trundle', 'Sylas', ""Kai'Sa"", 'Nautilus']",0
5991-7396,Red,"['Mordekaiser', 'Sejuani', 'Aatrox', 'Miss Fortune', 'Leona']",1
5991-7397,Blue,"['Renekton', 'Nocturne', 'Rumble', 'Varus', 'Braum']",0
5991-7397,Red,"['Aatrox', ""Rek'Sai"", 'Sylas', 'Miss Fortune', 'Nautilus']",1
5992-7398,Blue,"['Aatrox', ""Rek'Sai"", 'Zoe', 'Miss Fortune', 'Leona']",1
5992-7398,Red,"['Ornn', 'Lee Sin', 'Neeko', 'Varus', 'Tahm Kench']",0
5992-7399,Blue,"['Irelia', 'Sejuani', 'LeBlanc', 'Ezreal', 'Braum']",0
5992-7399,Red,"['Aatrox', 'Jarvan IV', 'Syndra', 'Varus', 'Rakan']",1
5993-7400,Blue,"['Renekton', 'Gragas', 'Irelia', 'Kalista', 'Taric']",0
5993-7400,Red,"['Mordekaiser', 'Sejuani', 'Sett', 'Miss Fortune', 'Alistar']",1
5993-7401,Blue,"['Renekton', 'Ekko', 'Qiyana', 'Miss Fortune', 'Nautilus']",1
5993-7401,Red,"['Maokai', 'Gragas', 'Sett', 'Varus', 'Braum']",0
5993-7402,Blue,"['Renekton', 'Lee Sin', 'Sylas', 'Miss Fortune', 'Nautilus']",0
5993-7402,Red,"['Sett', 'Gragas', 'Irelia', 'Varus', 'Braum']",1
5994-7403,Blue,"['Rumble', 'Trundle', 'Lucian', 'Ezreal', 'Nautilus']",0
5994-7403,Red,"['Maokai', 'Jarvan IV', 'Corki', 'Varus', 'Thresh']",1
5994-7404,Blue,"['Aatrox', 'Olaf', 'Lissandra', 'Varus', 'Thresh']",0
