team,id,win,champions,champion_ids
blue,4686307578,False,"['Trundle', 'Lee Sin', 'Twisted Fate', 'Miss Fortune', 'Soraka']","[122, 62, 124, 73, 111]"
red,4686307578,True,"['Fiora', 'Zac', 'Yasuo', 'Ezreal', 'Janna']","[29, 143, 140, 27, 42]"
blue,4685892151,False,"['Sion', 'Vi', 'Orianna', 'Ezreal', 'Janna']","[107, 132, 85, 27, 42]"
red,4685892151,True,"['Sett', 'Gragas', 'Galio', ""Kai'Sa"", 'Soraka']","[102, 35, 31, 48, 111]"
blue,4677687537,True,"['Garen', 'Twitch', 'Katarina', 'Ezreal', 'Lulu']","[33, 125, 53, 27, 67]"
red,4677687537,False,"['Jax', 'Kayn', ""Kog'Maw"", 'Jhin', 'Soraka']","[44, 55, 60, 46, 111]"
blue,4676258784,False,"['Volibear', 'Graves', 'Syndra', 'Ashe', 'Pyke']","[135, 36, 114, 8, 89]"
red,4676258784,True,"['Tryndamere', 'Kled', 'Ahri', ""Kai'Sa"", 'Soraka']","[123, 59, 1, 48, 111]"
blue,4670817087,True,"['Malphite', 'Evelynn', 'Kassadin', 'Yasuo', 'Soraka']","[69, 26, 52, 140, 111]"
red,4670817087,False,"['Wukong', 'Fiddlesticks', 'Talon', 'Vayne', 'Nautilus']","[74, 28, 117, 129, 79]"
blue,4670178538,False,"['Urgot', 'Lee Sin', 'Kassadin', 'Ziggs', 'Senna']","[127, 62, 52, 145, 101]"
red,4670178538,True,"['Warwick', 'Kayn', 'Katarina', 'Vayne', 'Soraka']","[136, 55, 53, 129, 111]"
blue,4669958151,False,"['Renekton', 'Fiddlesticks', 'Yasuo', 'Ezreal', 'Senna']","[95, 28, 140, 27, 101]"
red,4669958151,True,"['Darius', 'Warwick', 'Twisted Fate', 'Vayne', 'Soraka']","[20, 136, 124, 129, 111]"
blue,4669320441,False,"['Hecarim', 'Ekko', 'Karthus', 'Caitlyn', 'Morgana']","[37, 24, 51, 15, 76]"
red,4669320441,True,"['Ornn', 'Xin Zhao', 'Galio', 'Twitch', 'Yuumi']","[86, 139, 31, 125, 142]"
blue,4668869364,False,"['Sion', 'Sylas', 'Yasuo', 'Sivir', 'Bard']","[107, 113, 140, 108, 11]"
red,4668869364,True,"['Shen', 'Trundle', 'Qiyana', 'Ezreal', 'Thresh']","[104, 122, 90, 27, 120]"
blue,4666786129,True,"['Wukong', 'Elise', 'Zed', 'Vayne', 'Nami']","[74, 25, 144, 129, 77]"
red,4666786129,False,"['Jayce', 'Kayn', 'Lux', 'Ezreal', 'Taric']","[45, 55, 68, 27, 118]"
blue,4666719763,False,"['Gragas', 'Lee Sin', 'Veigar', 'Caitlyn', 'Alistar']","[35, 62, 130, 15, 3]"
red,4666719763,True,"['Darius', 'Zac', 'Ekko', 'Vayne', 'Soraka']","[20, 143, 24, 129, 111]"
blue,4666703141,False,"['Ornn', 'Olaf', 'Ekko', 'Ezreal', 'Xerath']","[86, 84, 24, 27, 138]"
red,4666703141,True,"['Karma', 'Elise', 'Twisted Fate', 'Varus', 'Zilean']","[50, 25, 124, 128, 146]"
blue,4666503524,False,"['Sett', 'Shaco', 'Qiyana', 'Yasuo', 'Xerath']","[102, 103, 90, 140, 138]"
red,4666503524,True,"['Malphite', 'Jarvan IV', 'Orianna', 'Twitch', 'Soraka']","[69, 43, 85, 125, 111]"
blue,4664619568,False,"['Camille', 'Kayn', 'Heimerdinger', 'Vayne', 'Yuumi']","[16, 55, 38, 129, 142]"
red,4664619568,True,"['Jayce', 'Graves', 'Orianna', 'Twitch', 'Soraka']","[45, 36, 85, 125, 111]"
blue,4664227480,False,"['Singed', 'Master Yi', ""Vel'Koz"", 'Ashe', 'Lulu']","[106, 72, 131, 8, 67]"
red,4664227480,True,"['Shen', ""Kha'Zix"", 'Karma', 'Ezreal', 'Soraka']","[104, 57, 50, 27, 111]"
blue,4661725677,False,"[""Cho'Gath"", 'Sett', 'Twisted Fate', 'Draven', 'Swain']","[18, 102, 124, 22, 112]"
red,4661725677,True,"['Mordekaiser', 'Jax', 'Zoe', 'Caitlyn', 'Yuumi']","[75, 44, 147, 15, 142]"
blue,4660126720,False,"['Garen', 'Olaf', 'Vladimir', ""Kai'Sa"", 'Pyke']","[33, 84, 134, 48, 89]"
red,4660126720,True,"['Urgot', 'Zac', ""Vel'Koz"", 'Lucian', 'Yuumi']","[127, 143, 131, 66, 142]"
blue,4660057067,False,"['Renekton', 'Fiddlesticks', ""Vel'Koz"", 'Miss Fortune', 'Braum']","[95, 28, 131, 73, 14]"
red,4660057067,True,"['Darius', 'Amumu', 'Lux', 'Draven', 'Leona']","[20, 4, 68, 22, 63]"
blue,4659962489,False,"['Jayce', 'Shyvana', 'Syndra', 'Taric', 'Senna']","[45, 105, 114, 118, 101]"
red,4659962489,True,"['Irelia', 'Kayn', 'Kassadin', 'Aphelios', 'Karma']","[40, 55, 52, 7, 50]"
blue,4659837268,False,"['Zed', 'Kayn', 'Mordekaiser', 'Ezreal', 'Karma']","[144, 55, 75, 27, 50]"
red,4659837268,True,"['Gangplank', 'Nunu & Willump', 'Vladimir', 'Aphelios', 'Lulu']","[32, 83, 134, 7, 67]"
blue,4659842277,True,"['Mordekaiser', 'Kayn', 'Zed', 'Aphelios', 'Nautilus']","[75, 55, 144, 7, 79]"
red,4659842277,False,"['Gragas', ""Kha'Zix"", 'Ekko', 'Ezreal', 'Janna']","[35, 57, 24, 27, 42]"
blue,4659699177,False,"['Darius', 'Hecarim', 'Diana', 'Yasuo', 'Lulu']","[20, 37, 21, 140, 67]"
red,4659699177,True,"['Camille', 'Elise', 'Zed', 'Kled', 'Senna']","[16, 25, 144, 59, 101]"
blue,4657778861,True,"['Camille', 'Nunu & Willump', 'Zed', ""Kai'Sa"", 'Lulu']","[16, 83, 144, 48, 67]"
red,4657778861,False,"['Fiora', 'Shaco', 'Neeko', 'Veigar', 'Tahm Kench']","[29, 103, 80, 130, 115]"
blue,4657449093,False,"['Shen', 'Nidalee', 'Zed', 'Aphelios', 'Lulu']","[104, 81, 144, 7, 67]"
red,4657449093,True,"['Nasus', 'Gragas', 'Heimerdinger', ""Kog'Maw"", 'Soraka']","[78, 35, 38, 60, 111]"
blue,4657461931,True,"['Irelia', 'Zac', 'Zed', 'Syndra', 'Swain']","[40, 143, 144, 114, 112]"
red,4657461931,False,"['Shen', 'Vi', 'Xerath', 'Veigar', 'Janna']","[104, 132, 138, 130, 42]"
blue,4657116118,False,"['Fiora', 'Nidalee', 'Galio', 'Tristana', 'Nami']","[29, 81, 31, 121, 77]"
red,4657116118,True,"['Renekton', 'Hecarim', 'Zed', 'Kled', 'Karma']","[95, 37, 144, 59, 50]"
blue,4656820546,True,"['Camille', 'Ekko', 'Zed', 'Twitch', 'Lulu']","[16, 24, 144, 125, 67]"
red,4656820546,False,"['Fiora', 'Fiddlesticks', 'Vladimir', 'Ezreal', 'Senna']","[29, 28, 134, 27, 101]"
blue,4656545476,True,"['Ekko', ""Kha'Zix"", 'Sett', 'Xayah', 'Yuumi']","[24, 57, 102, 137, 142]"
red,4656545476,False,"['Cassiopeia', 'Warwick', 'Zed', ""Kog'Maw"", 'Lulu']","[17, 136, 144, 60, 67]"
blue,4655979239,False,"['Akali', 'Vi', 'Yasuo', 'Lucian', 'Sett']","[2, 132, 140, 66, 102]"
red,4655979239,True,"['Zed', 'Shyvana', 'Irelia', ""Kai'Sa"", 'Pyke']","[144, 105, 40, 48, 89]"
blue,4654904542,False,"['Malphite', 'Graves', 'Mordekaiser', 'Tristana', 'Lux']","[69, 36, 75, 121, 68]"
red,4654904542,True,"['Shen', 'Vi', 'Zed', 'Jhin', 'Karma']","[104, 132, 144, 46, 50]"
blue,4654753166,True,"['Sion', 'Hecarim', 'Ahri', 'Jhin', 'Swain']","[107, 37, 1, 46, 112]"
red,4654753166,False,"['Shyvana', 'Qiyana', 'Heimerdinger', 'Varus', 'Pyke']","[105, 90, 38, 128, 89]"
blue,4654060883,True,"['Kennen', 'Warwick', 'Zilean', 'Lucian', 'Braum']","[56, 136, 146, 66, 14]"
red,4654060883,False,"['Maokai', 'Nidalee', ""Vel'Koz"", 'Aphelios', 'Bard']","[71, 81, 131, 7, 11]"
blue,4653724661,True,"['Mordekaiser', 'Hecarim', 'Zed', 'Ezreal', 'Nami']","[75, 37, 144, 27, 77]"
red,4653724661,False,"['Maokai', 'Lee Sin', 'Xerath', 'Aphelios', 'Senna']","[71, 62, 138, 7, 101]"
blue,4652223087,True,"['Shen', 'Shyvana', 'Zed', 'Ezreal', 'Pyke']","[104, 105, 144, 27, 89]"
red,4652223087,False,"['Mordekaiser', 'Jax', 'Cassiopeia', 'Caitlyn', 'Bard']","[75, 44, 17, 15, 11]"
blue,4652106403,True,"['Riven', 'Shaco', 'Talon', ""Kai'Sa"", 'Bard']","[97, 103, 117, 48, 11]"
red,4652106403,False,"['Poppy', 'Lee Sin', 'Ezreal', 'Syndra', 'Thresh']","[88, 62, 27, 114, 120]"
blue,4650719001,False,"['Gnar', 'Fiddlesticks', ""Vel'Koz"", 'Vayne', 'Janna']","[34, 28, 131, 129, 42]"
red,4650719001,True,"['Maokai', 'Dr. Mundo', 'Katarina', 'Ezreal', 'Xerath']","[71, 23, 53, 27, 138]"
blue,4648249220,True,"['Yorick', 'Ivern', 'Katarina', ""Kai'Sa"", 'Leona']","[141, 41, 53, 48, 63]"
red,4648249220,False,"['Hecarim', 'Sejuani', 'Cassiopeia', 'Ezreal', 'Pyke']","[37, 100, 17, 27, 89]"
blue,4646038319,False,"['Fiora', 'Lee Sin', 'Fizz', 'Varus', 'Lulu']","[29, 62, 30, 128, 67]"
red,4646038319,True,"['Poppy', 'Sejuani', ""Vel'Koz"", 'Tristana', 'Nami']","[88, 100, 131, 121, 77]"
blue,4645094653,True,"['Sett', 'Kayn', ""Vel'Koz"", 'Ezreal', 'Thresh']","[102, 55, 131, 27, 120]"
red,4645094653,False,"['Aatrox', 'Volibear', 'Syndra', 'Senna', 'Yuumi']","[0, 135, 114, 101, 142]"
blue,4643712225,True,"['Kayle', ""Kha'Zix"", 'Viktor', 'Lucian', 'Volibear']","[54, 57, 133, 66, 135]"
red,4643712225,False,"['Shen', 'Lee Sin', 'Zoe', 'Vayne', 'Lulu']","[104, 62, 147, 129, 67]"
blue,4641230135,False,"['Volibear', 'Jarvan IV', 'Xerath', 'Varus', 'Morgana']","[135, 43, 138, 128, 76]"
red,4641230135,True,"['Kayn', 'Trundle', 'LeBlanc', 'Tristana', 'Pyke']","[55, 122, 61, 121, 89]"
blue,4638464490,False,"['Ahri', 'Gragas', 'Yasuo', 'Ezreal', 'Lulu']","[1, 35, 140, 27, 67]"
red,4638464490,True,"['Nasus', 'Fiddlesticks', 'Aatrox', ""Kai'Sa"", 'Senna']","[78, 28, 0, 48, 101]"
blue,4630543171,True,"['Singed', 'Kayn', 'Kassadin', 'Caitlyn', 'Morgana']","[106, 55, 52, 15, 76]"
red,4630543171,False,"['Darius', 'Graves', 'Pantheon', 'Kled', 'Malphite']","[20, 36, 87, 59, 69]"
blue,4630230319,True,"['Teemo', 'Jarvan IV', 'Zed', 'Lucian', 'Pyke']","[119, 43, 144, 66, 89]"
red,4630230319,False,"['Nasus', 'Nunu & Willump', ""Vel'Koz"", 'Ezreal', 'Bard']","[78, 83, 131, 27, 11]"
blue,4630015121,False,"['Volibear', 'Evelynn', 'Ryze', 'Miss Fortune', 'Lulu']","[135, 26, 99, 73, 67]"
red,4630015121,True,"['Quinn', 'Zac', 'Orianna', 'Lucian', 'Pyke']","[91, 143, 85, 66, 89]"
blue,4629287949,True,"['Fiora', 'Rammus', 'Tryndamere', 'Cassiopeia', 'Nami']","[29, 93, 123, 17, 77]"
red,4629287949,False,"[""Cho'Gath"", 'Zac', 'Ekko', 'Yasuo', 'Janna']","[18, 143, 24, 140, 42]"
blue,4628641753,True,"['Jax', 'Fiddlesticks', 'Zed', 'Yasuo', 'Lulu']","[44, 28, 144, 140, 67]"
red,4628641753,False,"['Malphite', 'Sett', 'Karma', 'Lucian', 'Nautilus']","[69, 102, 50, 66, 79]"
blue,4628416184,False,"['Fiora', 'Sejuani', 'Yasuo', 'Varus', 'Blitzcrank']","[29, 100, 140, 128, 12]"
red,4628416184,True,"['Irelia', 'Jarvan IV', 'Katarina', 'Jinx', 'Lulu']","[40, 43, 53, 47, 67]"
blue,4628315551,False,"['Soraka', 'Udyr', 'Fizz', 'Kalista', 'Sett']","[111, 126, 30, 49, 102]"
red,4628315551,True,"['Yorick', 'Nidalee', 'Zed', 'Ezreal', 'Maokai']","[141, 81, 144, 27, 71]"
blue,4627308542,True,"['Cassiopeia', 'Sejuani', 'Zed', 'Ezreal', 'Soraka']","[17, 100, 144, 27, 111]"
red,4627308542,False,"['Irelia', 'Zac', ""Vel'Koz"", 'Draven', 'Shaco']","[40, 143, 131, 22, 103]"
blue,4627292740,True,"['Kayle', 'Kayn', 'Corki', 'Irelia', 'Lulu']","[54, 55, 19, 40, 67]"
red,4627292740,False,"['Jax', 'Olaf', ""Vel'Koz"", ""Kai'Sa"", 'Pyke']","[44, 84, 131, 48, 89]"
blue,4626433683,False,"['Shen', 'Volibear', 'Kassadin', 'Ashe', 'Pyke']","[104, 135, 52, 8, 89]"
red,4626433683,True,"['Sion', 'Evelynn', 'Fizz', 'Varus', 'Janna']","[107, 26, 30, 128, 42]"
blue,4626246977,True,"['Akali', ""Rek'Sai"", 'Kassadin', 'Tristana', 'Soraka']","[2, 94, 52, 121, 111]"
red,4626246977,False,"['Darius', 'Nidalee', 'Syndra', 'Kalista', 'Blitzcrank']","[20, 81, 114, 49, 12]"
blue,4626250662,True,"['Fiora', 'Nidalee', 'Kayn', 'Jhin', 'Soraka']","[29, 81, 55, 46, 111]"
red,4626250662,False,"['Ornn', 'Zac', 'Twisted Fate', 'Kled', 'Karma']","[86, 143, 124, 59, 50]"
blue,4626117783,False,"['Shen', 'Shyvana', 'Twisted Fate', 'Twitch', 'Nautilus']","[104, 105, 124, 125, 79]"
red,4626117783,True,"['Garen', 'Kayn', 'Xerath', 'Lucian', 'Pyke']","[33, 55, 138, 66, 89]"
blue,4626120857,False,"['Twisted Fate', ""Kha'Zix"", 'Mordekaiser', 'Varus', 'Morgana']","[124, 57, 75, 128, 76]"
red,4626120857,True,"['Teemo', ""Rek'Sai"", 'Diana', 'Caitlyn', 'Janna']","[119, 94, 21, 15, 42]"
blue,4625876412,True,"['Darius', 'Lee Sin', 'Qiyana', 'Morgana', 'Zoe']","[20, 62, 90, 76, 147]"
red,4625876412,False,"['Kled', 'Kayn', 'Mordekaiser', 'Jhin', 'Pyke']","[59, 55, 75, 46, 89]"
blue,4625055394,False,"['Renekton', 'Kayn', 'Zilean', 'Vayne', 'Janna']","[95, 55, 146, 129, 42]"
red,4625055394,True,"['Aatrox', 'Rengar', 'Ezreal', 'Aphelios', 'Veigar']","[0, 96, 27, 7, 130]"
blue,4623283959,True,"['Ornn', 'Fiddlesticks', 'Graves', 'Lucian', 'Janna']","[86, 28, 36, 66, 42]"
red,4623283959,False,"['Akali', 'Ivern', 'Zed', 'Varus', 'Sett']","[2, 41, 144, 128, 102]"
blue,4622629637,True,"['Kled', 'Ekko', ""Vel'Koz"", 'Vayne', 'Janna']","[59, 24, 131, 129, 42]"
red,4622629637,False,"['Rengar', 'Fiddlesticks', 'Xerath', 'Kalista', 'Yuumi']","[96, 28, 138, 49, 142]"
blue,4622641719,True,"['Malphite', 'Kayn', 'Azir', 'Miss Fortune', ""Vel'Koz""]","[69, 55, 10, 73, 131]"
red,4622641719,False,"['Darius', 'Zac', 'Ekko', 'Sivir', 'Yuumi']","[20, 143, 24, 108, 142]"
blue,4616628733,False,"['Maokai', 'Kayn', 'Syndra', 'Lucian', 'Yuumi']","[71, 55, 114, 66, 142]"
red,4616628733,True,"['Ornn', 'Ivern', 'Talon', ""Kog'Maw"", 'Lulu']","[86, 41, 117, 60, 67]"
blue,4615600105,False,"['Nasus', 'Lee Sin', 'Ekko', 'Jhin', 'Zilean']","[78, 62, 24, 46, 146]"
red,4615600105,True,"['Vladimir', ""Kha'Zix"", 'Talon', ""Kai'Sa"", 'Soraka']","[134, 57, 117, 48, 111]"
blue,4615435031,False,"['Urgot', 'Sylas', 'Neeko', 'Sivir', 'Blitzcrank']","[127, 113, 80, 108, 12]"
red,4615435031,True,"['Mordekaiser', 'Graves', 'Camille', ""Kai'Sa"", 'Soraka']","[75, 36, 16, 48, 111]"
blue,4614280931,True,"['Fiora', 'Skarner', 'Ryze', 'Jinx', 'Lulu']","[29, 109, 99, 47, 67]"
red,4614280931,False,"['Jax', ""Kha'Zix"", 'Veigar', ""Vel'Koz"", 'Yuumi']","[44, 57, 130, 131, 142]"
blue,4613547267,False,"['Shen', 'Sejuani', 'Talon', 'Ziggs', 'Pyke']","[104, 100, 117, 145, 89]"
red,4613547267,True,"['Gragas', 'Shaco', 'Cassiopeia', 'Jhin', 'Lulu']","[35, 103, 17, 46, 67]"
blue,4613487083,False,"[""Vel'Koz"", 'Fiddlesticks', 'Kennen', 'Aphelios', 'Lulu']","[131, 28, 56, 7, 67]"
red,4613487083,True,"['Renekton', 'Nidalee', 'Katarina', 'Ezreal', 'Bard']","[95, 81, 53, 27, 11]"
blue,4612476226,False,"['Aatrox', 'Nidalee', ""Vel'Koz"", 'Varus', 'Nautilus']","[0, 81, 131, 128, 79]"
red,4612476226,True,"['Urgot', 'Fiddlesticks', 'Kassadin', 'Vayne', 'Yuumi']","[127, 28, 52, 129, 142]"
blue,4612193152,False,"['Shen', ""Kha'Zix"", 'Zoe', 'Caitlyn', 'Nami']","[104, 57, 147, 15, 77]"
red,4612193152,True,"['Renekton', 'Kayn', 'Zed', ""Kai'Sa"", 'Janna']","[95, 55, 144, 48, 42]"
blue,4611417900,False,"['Pantheon', 'Warwick', 'Zoe', 'Draven', 'Janna']","[87, 136, 147, 22, 42]"
red,4611417900,True,"['Mordekaiser', ""Kha'Zix"", 'Ahri', 'Ezreal', 'Soraka']","[75, 57, 1, 27, 111]"
blue,4611335957,True,"['Tryndamere', 'Lee Sin', 'Zoe', 'Ezreal', 'Galio']","[123, 62, 147, 27, 31]"
red,4611335957,False,"[""Cho'Gath"", 'Wukong', 'Jayce', 'Jhin', 'Nautilus']","[18, 74, 45, 46, 79]"
blue,4610513191,True,"['Renekton', 'Evelynn', 'Diana', 'Ezreal', 'Yuumi']","[95, 26, 21, 27, 142]"
red,4610513191,False,"['Sion', 'Ekko', 'Yasuo', 'Draven', 'Pyke']","[107, 24, 140, 22, 89]"
blue,4610464093,True,"['Sett', 'Lee Sin', 'Ekko', 'Jhin', 'Senna']","[102, 62, 24, 46, 101]"
red,4610464093,False,"['Sion', 'Rengar', 'Twisted Fate', 'Ezreal', 'Soraka']","[107, 96, 124, 27, 111]"
blue,4610387106,False,"['Nasus', 'Jarvan IV', 'Zilean', 'Ashe', 'Sett']","[78, 43, 146, 8, 102]"
red,4610387106,True,"['Akali', 'Elise', 'Zed', 'Varus', 'Lux']","[2, 25, 144, 128, 68]"
blue,4609484562,False,"['Aatrox', 'Evelynn', 'Orianna', 'Ezreal', 'Yuumi']","[0, 26, 85, 27, 142]"
red,4609484562,True,"['Volibear', 'Fiddlesticks', 'Vladimir', 'Heimerdinger', 'Pyke']","[135, 28, 134, 38, 89]"
blue,4608353491,False,"['Ornn', ""Rek'Sai"", 'Ekko', 'Veigar', 'Pyke']","[86, 94, 24, 130, 89]"
red,4608353491,True,"['Garen', 'Zac', 'Karma', 'Vayne', 'Janna']","[33, 143, 50, 129, 42]"
blue,4608266377,True,"['Gnar', 'Nidalee', 'Twisted Fate', 'Tristana', 'Yuumi']","[34, 81, 124, 121, 142]"
red,4608266377,False,"['Sett', 'Kayn', 'Ekko', 'Lucian', 'Morgana']","[102, 55, 24, 66, 76]"
blue,4608179699,False,"['Ornn', 'Lee Sin', 'Zed', 'Varus', 'Thresh']","[86, 62, 144, 128, 120]"
red,4608179699,True,"['Maokai', 'Ekko', 'Pyke', 'Ezreal', 'Brand']","[71, 24, 89, 27, 13]"
blue,4607516239,False,"['Riven', 'Trundle', 'Lissandra', ""Kai'Sa"", 'Lulu']","[97, 122, 65, 48, 67]"
red,4607516239,True,"['Fiora', 'Fiddlesticks', 'Ekko', 'Tristana', 'Janna']","[29, 28, 24, 121, 42]"
blue,4607491144,False,"['Lissandra', 'Shaco', 'Qiyana', ""Kai'Sa"", 'Taric']","[65, 103, 90, 48, 118]"
red,4607491144,True,"[""Cho'Gath"", ""Rek'Sai"", 'Zoe', 'Lucian', 'Lulu']","[18, 94, 147, 66, 67]"
blue,4607247630,False,"['Sion', 'Fiddlesticks', 'Volibear', 'Heimerdinger', 'Soraka']","[107, 28, 135, 38, 111]"
red,4607247630,True,"['Kled', 'Lee Sin', 'Azir', 'Pyke', 'Lux']","[59, 62, 10, 89, 68]"
blue,4607131743,False,"['Karma', 'Master Yi', 'Vladimir', 'Caitlyn', 'Morgana']","[50, 72, 134, 15, 76]"
red,4607131743,True,"['Kennen', 'Graves', 'Talon', 'Jinx', 'Lulu']","[56, 36, 117, 47, 67]"
blue,4606846674,False,"['Garen', 'Nocturne', 'Sylas', 'Ezreal', 'Karma']","[33, 82, 113, 27, 50]"
red,4606846674,True,"[""Vel'Koz"", 'Ekko', 'Zed', 'Aphelios', 'Nautilus']","[131, 24, 144, 7, 79]"
blue,4606682142,True,"['Ornn', 'Trundle', 'Zed', 'Veigar', 'Nami']","[86, 122, 144, 130, 77]"
red,4606682142,False,"['Darius', 'Zac', 'Neeko', 'Ashe', 'Janna']","[20, 143, 80, 8, 42]"
blue,4606128244,False,"['Maokai', 'Lee Sin', 'Vladimir', 'Caitlyn', 'Soraka']","[71, 62, 134, 15, 111]"
red,4606128244,True,"['Sett', 'Ekko', 'Aurelion Sol', 'Vayne', 'Janna']","[102, 24, 9, 129, 42]"
blue,4605820361,True,"['Camille', 'Volibear', 'Zilean', 'Jhin', 'Thresh']","[16, 135, 146, 46, 120]"
red,4605820361,False,"['Sylas', 'Ekko', 'Zed', ""Kai'Sa"", 'Lulu']","[113, 24, 144, 48, 67]"
blue,4605261515,True,"['Nasus', 'Gragas', 'Yasuo', 'Ezreal', 'Bard']","[78, 35, 140, 27, 11]"
red,4605261515,False,"['Tryndamere', 'Shyvana', 'Renekton', 'Tristana', 'Soraka']","[123, 105, 95, 121, 111]"
blue,4605141702,True,"['Malphite', ""Kha'Zix"", 'Orianna', 'Varus', 'Yuumi']","[69, 57, 85, 128, 142]"
red,4605141702,False,"['Darius', 'Elise', 'Camille', 'Syndra', 'Brand']","[20, 25, 16, 114, 13]"
blue,4604910560,True,"['Riven', 'Shaco', 'Yasuo', 'Ezreal', 'Yuumi']","[97, 103, 140, 27, 142]"
red,4604910560,False,"['Camille', 'Evelynn', 'Aurelion Sol', 'Ashe', 'Nautilus']","[16, 26, 9, 8, 79]"
blue,4604779458,True,"['Malphite', 'Udyr', 'Taliyah', 'Ezreal', 'Yuumi']","[69, 126, 116, 27, 142]"
red,4604779458,False,"['Gnar', 'Fiddlesticks', 'Zoe', 'Aphelios', 'Soraka']","[34, 28, 147, 7, 111]"
blue,4604692943,False,"['Malphite', 'Rammus', 'Yasuo', 'Xayah', 'Senna']","[69, 93, 140, 137, 101]"
red,4604692943,True,"['Sylas', 'Graves', 'Aurelion Sol', 'Caitlyn', 'Morgana']","[113, 36, 9, 15, 76]"
blue,4603698913,True,"['Cassiopeia', ""Rek'Sai"", 'Rumble', 'Aphelios', 'Yuumi']","[17, 94, 98, 7, 142]"
red,4603698913,False,"['Darius', 'Jarvan IV', 'Yasuo', 'Draven', 'Braum']","[20, 43, 140, 22, 14]"
blue,4602330911,True,"['Malphite', 'Master Yi', 'Taric', 'Lucian', 'Lulu']","[69, 72, 118, 66, 67]"
red,4602330911,False,"['Irelia', 'Rammus', 'Syndra', 'Aphelios', 'Soraka']","[40, 93, 114, 7, 111]"
blue,4601445731,False,"['Kled', 'Kayn', 'Syndra', 'Ezreal', 'Karma']","[59, 55, 114, 27, 50]"
red,4601445731,True,"['Tryndamere', ""Kha'Zix"", 'Viktor', ""Kai'Sa"", 'Yuumi']","[123, 57, 133, 48, 142]"
blue,4599159453,True,"['Ornn', 'Shaco', 'Galio', 'Twitch', 'Soraka']","[86, 103, 31, 125, 111]"
red,4599159453,False,"['Malphite', 'Rengar', 'Irelia', 'Miss Fortune', 'Lulu']","[69, 96, 40, 73, 67]"
blue,4597547040,True,"['Garen', 'Ekko', 'Yasuo', 'Vayne', 'Lulu']","[33, 24, 140, 129, 67]"
red,4597547040,False,"['Ornn', 'Kindred', 'Syndra', 'Ezreal', 'Rakan']","[86, 58, 114, 27, 92]"
blue,4597032492,False,"['Darius', 'Fiddlesticks', 'Syndra', 'Ezreal', 'Bard']","[20, 28, 114, 27, 11]"
red,4597032492,True,"['Wukong', 'Rengar', 'Sylas', 'Aphelios', 'Soraka']","[74, 96, 113, 7, 111]"
blue,4595335667,True,"['Sion', 'Gragas', 'Lucian', 'Xerath', 'Yuumi']","[107, 35, 66, 138, 142]"
